type_habit,prix,image_lien,quartier,region
Robe,8000,https://images.coinafrique.com/thumb_4150089_uploaded_image1_1679864882.jpg,HLM, Dakar
Vêtement,10000,https://images.coinafrique.com/thumb_4101121_uploaded_image1_1676811904.jpg,Dakar, Sénégal
Vêtement,5000,https://images.coinafrique.com/thumb_4065291_uploaded_image1_1674673177.jpg,Colobane, Dakar
Ensemble,8000,https://images.coinafrique.com/thumb_4060125_uploaded_image1_1674340224.jpg,Dakar Plateau, Dakar
Culotteenfant,1500,https://images.coinafrique.com/thumb_4057600_uploaded_image1_1674194252.jpg,Rufisque, Sénégal
Pantalon,1500,https://images.coinafrique.com/thumb_4057598_uploaded_image1_1674193975.jpg,Rufisque, Sénégal
Pantalon,1500,https://images.coinafrique.com/thumb_4057597_uploaded_image1_1674193920.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057589_uploaded_image1_1674193319.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057591_uploaded_image1_1674193412.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057590_uploaded_image1_1674193372.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057583_uploaded_image1_1674193052.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057584_uploaded_image1_1674193083.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057585_uploaded_image1_1674193137.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057578_uploaded_image1_1674192811.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057576_uploaded_image1_1674192773.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057588_uploaded_image1_1674193256.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057586_uploaded_image1_1674193223.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057575_uploaded_image1_1674192708.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057582_uploaded_image1_1674192997.jpg,Rufisque, Sénégal
Salopetteenfant,2500,https://images.coinafrique.com/thumb_4057579_uploaded_image1_1674192885.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057564_uploaded_image1_1674192253.jpg,Rufisque, Sénégal
Pulloverenfantpure,1500,https://images.coinafrique.com/thumb_4057566_uploaded_image1_1674192316.jpg,Rufisque, Sénégal
Ensemble,7000,https://images.coinafrique.com/thumb_4044065_uploaded_image1_1673390538.jpg,Dakar Plateau, Dakar
Vêtements,10000,https://images.coinafrique.com/thumb_4083613_uploaded_image2_1675754458.jpeg,Sicap foire, Dakar
Ensemble,4000,https://images.coinafrique.com/thumb_4083084_uploaded_image1_1675711069.jpg,Mermoz-Sacré Coeur, Dakar
Ensemble,7000,https://images.coinafrique.com/thumb_4038305_uploaded_image1_1673043715.jpg,Dakar Plateau, Dakar
Vêtementfriperie,6000,https://images.coinafrique.com/thumb_4072975_uploaded_image1_1675197514.jpg,Colobane, Dakar
Greniers,1000,https://images.coinafrique.com/thumb_4072974_uploaded_image1_1675197428.jpg,Colobane, Dakar
Friperiepeignoir,3000,https://images.coinafrique.com/thumb_4072972_uploaded_image1_1675197339.jpg,Colobane, Dakar
Friperie,6000,https://images.coinafrique.com/thumb_4072971_uploaded_image1_1675197283.jpg,Colobane, Dakar
Vêtements,8500,https://images.coinafrique.com/thumb_4034624_uploaded_image1_1672861115.jpg,Colobane, Dakar
Vêtements,8000,https://images.coinafrique.com/thumb_4033667_uploaded_image1_1672829952.jpg,Colobane, Dakar
Vêtements,8000,https://images.coinafrique.com/thumb_4033672_uploaded_image1_1672830064.jpg,Colobane, Dakar
Ensemble,7000,https://images.coinafrique.com/thumb_4028243_uploaded_image1_1672407438.jpg,Dakar Plateau, Dakar
Vêtements,1000,https://images.coinafrique.com/thumb_4061049_uploaded_image1_1674420676.jpg,Almadies, Dakar
Vêtements,1000,https://images.coinafrique.com/thumb_4061042_uploaded_image1_1674420399.jpg,Almadies, Dakar
Fliperies,500,https://images.coinafrique.com/thumb_4061027_uploaded_image1_1674419234.jpg,Almadies, Dakar
Ensemble,3000,https://images.coinafrique.com/thumb_4054351_uploaded_image1_1673991497.jpg,Thies, Sénégal
