type_chauss,prix,image_lien,quartier,region
BasketsAir,20000,https://images.coinafrique.com/thumb_4061769_uploaded_image1_1674477796.jpg,Dakar Plateau, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_4061752_uploaded_image1_1674477480.jpg,Dakar Plateau, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_4061782_uploaded_image1_1674478051.jpg,Dakar Plateau, Dakar
BasketsJordan,18000,https://images.coinafrique.com/thumb_4102622_uploaded_image1_1676911096.jpg,Fass, Dakar
BasketsJordan,18000,https://images.coinafrique.com/thumb_4102613_uploaded_image1_1676910890.jpg,Fass, Dakar
Chaussures,18000,https://images.coinafrique.com/thumb_4060120_uploaded_image1_1674340073.jpg,Dakar Plateau, Dakar
ChaussuresAirJordan,25000,https://images.coinafrique.com/thumb_4101662_uploaded_image1_1676850421.jpg,Dakar, Sénégal
ChaussuresJordan,18000,https://images.coinafrique.com/thumb_4101660_uploaded_image1_1676850392.jpg,Medina, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4101658_uploaded_image1_1676850135.jpg,Dakar, Sénégal
Baskets,10000,https://images.coinafrique.com/thumb_4101653_uploaded_image1_1676849556.jpg,Medina, Dakar
BasketsNike,17000,https://images.coinafrique.com/thumb_4101645_uploaded_image1_1676848914.jpg,Medina, Dakar
BasketsJordan,17000,https://images.coinafrique.com/thumb_4101643_uploaded_image1_1676848794.jpg,Medina, Dakar
Mocassins,10000,https://images.coinafrique.com/thumb_4101591_uploaded_image1_1676845519.jpg,Medina, Dakar
Chaussures,25000,https://images.coinafrique.com/thumb_4061381_uploaded_image1_1674464380.jpg,Fann, Dakar
BasketsJordan,40000,https://images.coinafrique.com/thumb_4100748_uploaded_image1_1676768546.jpg,Guediawaye, Dakar
ChaussuresStan,13000,https://images.coinafrique.com/thumb_4057181_uploaded_image1_1674156818.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4057193_uploaded_image1_1674157232.jpg,Dakar Plateau, Dakar
Chaussures,30000,https://images.coinafrique.com/thumb_4057176_uploaded_image1_1674156592.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4057195_uploaded_image1_1674157301.jpg,Dakar Plateau, Dakar
Bootsen,25000,https://images.coinafrique.com/thumb_4100144_uploaded_image1_1676724705.jpg,Biscuiterie, Dakar
Chaussures,25000,https://images.coinafrique.com/thumb_4100132_uploaded_image1_1676724228.jpg,Biscuiterie, Dakar
Chaussures,17500,https://images.coinafrique.com/thumb_4099791_uploaded_image1_1676702381.jpg,Dakar, Sénégal
Chaussures,14500,https://images.coinafrique.com/thumb_4099787_uploaded_image1_1676702130.jpg,Dakar, Sénégal
Chaussures,18000,https://images.coinafrique.com/thumb_4099378_uploaded_image1_1676661106.jpg,Dakar, Sénégal
Chaussures,18000,https://images.coinafrique.com/thumb_4099374_uploaded_image1_1676660913.jpg,Dakar, Sénégal
Chaussures,16000,https://images.coinafrique.com/thumb_4099365_uploaded_image1_1676660600.jpg,Dakar, Sénégal
Chaussures,16000,https://images.coinafrique.com/thumb_4055717_uploaded_image1_1674065722.jpg,Dakar Plateau, Dakar
Chaussures,16000,https://images.coinafrique.com/thumb_4055714_uploaded_image1_1674065620.jpg,Dakar Plateau, Dakar
Chaussures,35000,https://images.coinafrique.com/thumb_4059228_uploaded_image1_1674295455.jpg,Fann, Dakar
Chaussures,15000,https://images.coinafrique.com/thumb_4098294_uploaded_image1_1676597730.jpg,Dakar, Sénégal
Chaussures,15000,https://images.coinafrique.com/thumb_4098082_uploaded_image1_1676582772.jpg,Colobane, Dakar
ChaussuresJordan,20000,https://images.coinafrique.com/thumb_4098009_uploaded_image2_1676579361.jpeg,Colobane, Dakar
Chaussures,18000,https://images.coinafrique.com/thumb_4098006_uploaded_image1_1676579257.jpg,Colobane, Dakar
Chaussures,30000,https://images.coinafrique.com/thumb_4096758_uploaded_image1_1676513622.jpg,Grand Dakar, Dakar
Chaussures,15000,https://images.coinafrique.com/thumb_4096730_uploaded_image1_1676507845.jpg,Dakar, Sénégal
Chaussures,10000,https://images.coinafrique.com/thumb_4095202_uploaded_image1_1676415017.jpg,Rufisque, Sénégal
Chaussures,35000,https://images.coinafrique.com/thumb_4095175_uploaded_image1_1676413174.jpg,Ouest Foire, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4095167_uploaded_image1_1676412764.jpg,Ouest Foire, Dakar
Chaussures,22000,https://images.coinafrique.com/thumb_4095164_uploaded_image1_1676412446.jpg,Ouest Foire, Dakar
Sandalesen,25000,https://images.coinafrique.com/thumb_4093799_uploaded_image1_1676325091.jpg,Parcelle Assainies, Dakar
Sandales,15000,https://images.coinafrique.com/thumb_4092479_uploaded_image1_1676244998.jpg,Dakar, Sénégal
Sandales,15000,https://images.coinafrique.com/thumb_4092475_uploaded_image1_1676244914.jpg,Dakar, Sénégal
Sandales,15000,https://images.coinafrique.com/thumb_4092470_uploaded_image1_1676244723.jpg,Dakar, Sénégal
Chaussures,16000,https://images.coinafrique.com/thumb_4050268_uploaded_image1_1673728897.jpg,Dakar Plateau, Dakar
Chaussures,25000,https://images.coinafrique.com/thumb_4050266_uploaded_image1_1673728818.jpg,Dakar Plateau, Dakar
Chaussures,25000,https://images.coinafrique.com/thumb_4092179_uploaded_image1_1676229200.jpg,Dakar, Sénégal
Baskets,15000,https://images.coinafrique.com/thumb_4091907_uploaded_image1_1676212563.jpg,Parcelle Assainies, Dakar
Chaussuresencuir,19000,https://images.coinafrique.com/thumb_4091785_uploaded_image1_1676202145.jpg,Medina, Dakar
ChaussuresJordan,25000,https://images.coinafrique.com/thumb_4091342_uploaded_image1_1676151266.jpg,Colobane, Dakar
ChaussuresJordan,20000,https://images.coinafrique.com/thumb_4091339_uploaded_image1_1676151105.jpg,Colobane, Dakar
ChaussuresNikeAirForce,17000,https://images.coinafrique.com/thumb_4091338_uploaded_image1_1676150959.jpg,Colobane, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4091334_uploaded_image1_1676150805.jpg,Colobane, Dakar
ChaussuresTravis,20000,https://images.coinafrique.com/thumb_4091330_uploaded_image1_1676150610.jpg,Colobane, Dakar
ChaussuresAir,12500,https://images.coinafrique.com/thumb_4091266_uploaded_image2_1676146688.jpeg,Medina, Dakar
Chaussures,22000,https://images.coinafrique.com/thumb_4090733_uploaded_image1_1676118571.jpg,Dakar Plateau, Dakar
BasketsAdidas,15000,https://images.coinafrique.com/thumb_4090635_uploaded_image1_1676114807.jpg,Ouakam, Dakar
Chaussures,15000,https://images.coinafrique.com/thumb_4047438_uploaded_image1_1673561238.jpg,Dakar Plateau, Dakar
BasketsAirJordan,22000,https://images.coinafrique.com/thumb_4090259_uploaded_image1_1676072539.jpg,Sicap Liberté, Dakar
BasketsAirJordan,20000,https://images.coinafrique.com/thumb_4090255_uploaded_image1_1676072418.jpg,Sicap Liberté, Dakar
Chaussures,18000,https://images.coinafrique.com/thumb_4090252_uploaded_image1_1676072309.jpg,Sicap Liberté, Dakar
Chaussures,75000,https://images.coinafrique.com/thumb_4090174_uploaded_image1_1676066473.jpg,Parcelle Assainies, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4045741_uploaded_image1_1673475270.jpg,Dakar Plateau, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_4045745_uploaded_image1_1673475373.jpg,Dakar Plateau, Dakar
Chaussures,18000,https://images.coinafrique.com/thumb_4045733_uploaded_image1_1673475086.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4045737_uploaded_image1_1673475217.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4088774_uploaded_image2_1675982255.jpeg,Dakar Plateau, Dakar
SandalesChristian,15000,https://images.coinafrique.com/thumb_4088612_uploaded_image1_1675973962.jpg,Dieuppeul-Derklé, Dakar
ChaussuresBerluti,25000,https://images.coinafrique.com/thumb_4088459_uploaded_image1_1675968653.jpg,Pikine, Sénégal
Baskets,25000,https://images.coinafrique.com/thumb_4088140_uploaded_image1_1675956704.jpg,Ouest Foire, Dakar
Chaussures,22000,https://images.coinafrique.com/thumb_4088026_uploaded_image1_1675952914.jpg,Patte d'oie, Dakar
Chaussures,22000,https://images.coinafrique.com/thumb_4087842_uploaded_image1_1675947448.jpg,Patte d'oie, Dakar
Chaussures,5000,https://images.coinafrique.com/thumb_4087814_uploaded_image2_1675946837.jpeg,Parcelle Assainies, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4044050_uploaded_image1_1673389866.jpg,Dakar Plateau, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_4044035_uploaded_image1_1673389242.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4044031_uploaded_image1_1673389131.jpg,Dakar Plateau, Dakar
BasketsNikeAirJordan,23000,https://images.coinafrique.com/thumb_4086707_uploaded_image1_1675877149.jpg,Medina, Dakar
BasketsNikeAirForce,12000,https://images.coinafrique.com/thumb_4086697_uploaded_image1_1675876900.jpg,Medina, Dakar
Chaussures,39000,https://images.coinafrique.com/thumb_4084923_uploaded_image1_1675796354.jpg,Ouest Foire, Dakar
,7000,https://images.coinafrique.com/thumb_4084286_uploaded_image1_1675774984.jpg,Grand Yoff, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4040681_uploaded_image1_1673215913.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4040671_uploaded_image1_1673215681.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4040685_uploaded_image1_1673216003.jpg,Dakar Plateau, Dakar
Chaussures,30000,https://images.coinafrique.com/thumb_4081817_uploaded_image1_1675653163.jpg,Grand Dakar, Dakar
Chaussures,25000,https://images.coinafrique.com/thumb_4038298_uploaded_image1_1673043457.jpg,Dakar Plateau, Dakar
Chaussures,25000,https://images.coinafrique.com/thumb_4038300_uploaded_image1_1673043532.jpg,Dakar Plateau, Dakar
ChaussuresWallabies,16000,https://images.coinafrique.com/thumb_4038294_uploaded_image1_1673043382.jpg,Dakar Plateau, Dakar
Chaussures,35000,https://images.coinafrique.com/thumb_4039673_uploaded_image1_1673131736.jpg,Fann, Dakar
Chaussures,16000,https://images.coinafrique.com/thumb_4036362_uploaded_image1_1672943902.jpg,Dakar Plateau, Dakar
Baskets,25000,https://images.coinafrique.com/thumb_4078911_uploaded_image1_1675449058.jpg,Dakar, Sénégal
Chaussures,11000,https://images.coinafrique.com/thumb_4078276_uploaded_image1_1675429474.jpg,Rufisque, Sénégal
ChaussuresStan,13000,https://images.coinafrique.com/thumb_4034555_uploaded_image1_1672857885.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4034462_uploaded_image1_1672855154.jpg,Dakar Plateau, Dakar
Chaussures,25000,https://images.coinafrique.com/thumb_4034461_uploaded_image1_1672855097.jpg,Dakar Plateau, Dakar
Chaussures,25000,https://images.coinafrique.com/thumb_4034458_uploaded_image1_1672855023.jpg,Dakar Plateau, Dakar
ChaussuresStan,15000,https://images.coinafrique.com/thumb_4076923_uploaded_image1_1675361521.jpg,Dakar, Sénégal
Mocassinsen,10000,https://images.coinafrique.com/thumb_4076900_uploaded_image1_1675360980.jpg,Dakar, Sénégal
ChaussuresNikeair,15000,https://images.coinafrique.com/thumb_4076888_uploaded_image1_1675360737.jpg,Dakar, Sénégal
ChaussuresVansOld,15000,https://images.coinafrique.com/thumb_4076878_uploaded_image1_1675360555.jpg,Dakar, Sénégal
BasketsAll,15000,https://images.coinafrique.com/thumb_4076865_uploaded_image1_1675360354.jpg,Dakar, Sénégal
Baskets,12500,https://images.coinafrique.com/thumb_4076544_uploaded_image1_1675351540.jpg,Mbao, Dakar
SouliersBerluti,25000,https://images.coinafrique.com/thumb_4076461_uploaded_image1_1675347927.jpg,Pikine, Sénégal
