type_chauss,prix,image_lien,quartier,region
Chaussures,5000,https://images.coinafrique.com/thumb_1581543_uploaded_image1_1580655480.41.png,Fass, Dakar
Chaussures,5000,https://images.coinafrique.com/thumb_1581540_uploaded_image1_1580655426.76.png,Fass, Dakar
BasketsJordan,40000,https://images.coinafrique.com/thumb_1566247_uploaded_image1_1580391008.81.png,Thies Nord, Thiès
Baskets,40000,https://images.coinafrique.com/thumb_1566225_uploaded_image2_1580390769.12.png,Thies Nord, Thiès
Chaussures,10000,https://images.coinafrique.com/thumb_1409266_uploaded_image1_1577711646.42.png,Mermoz-Sacré-Cœur, Dakar
Chaussures,7000,https://images.coinafrique.com/thumb_1388690_uploaded_image1_1577283660.0.png,Les Parcelles Assainies, Dakar
Chaussures,4000,https://images.coinafrique.com/thumb_1381082_uploaded_image1_1577115739.61.png,Grand Yoff, Dakar
Chaussurespour,12000,https://images.coinafrique.com/thumb_1369049_uploaded_image1_1576856907.85.png,Grand Yoff, Dakar
Coffretspour,6000,https://images.coinafrique.com/thumb_1357961_uploaded_image1_1576667812.04.png,Sicap Liberté, Dakar
Claquettespour,9000,https://images.coinafrique.com/thumb_1352820_uploaded_image1_1576580373.29.png,Mermoz-Sacré-Cœur, Dakar
Chaussures,7500,https://images.coinafrique.com/thumb_1271193_uploaded_image1_1575044622.08.png,Guediawaye, Dakar
Chaussures,3500,https://images.coinafrique.com/thumb_1270845_uploaded_image1_1575041164.15.png,Dakar, Sénégal
Chaussures,7000,https://images.coinafrique.com/thumb_1183496_uploaded_image1_1573475198.52.png,Dakar, Sénégal
Chaussures,3000,https://images.coinafrique.com/thumb_1131220_uploaded_image1_1572433036.53.png,Les Parcelles Assainies, Dakar
Chaussures,5000,https://images.coinafrique.com/thumb_1088264_uploaded_image1_1571609033.03.png,Les Parcelles Assainies, Dakar
Chaussures-,8000,https://images.coinafrique.com/thumb_1061846_uploaded_image1_1571051734.07.png,Ouakam, Dakar
Mocassins,5000,https://images.coinafrique.com/thumb_1056625_uploaded_image1_1570898469.33.png,Les Parcelles Assainies, Dakar
Chaussures,12500,https://images.coinafrique.com/thumb_1048681_uploaded_image1_1570725349.01.png,Rufisque, Sénégal
Mocassins,4000,https://images.coinafrique.com/thumb_1025460_uploaded_image1_1570221546.08.png,Mermoz-Sacré-Cœur, Dakar
Chaussurespour,3000,https://images.coinafrique.com/thumb_997837_uploaded_image1_1569622630.58.png,Keur Massar, Sénégal
Chaussurespour,4000,https://images.coinafrique.com/thumb_997786_uploaded_image1_1569621938.2.png,Keur Massar, Sénégal
,7000,https://images.coinafrique.com/thumb_991150_uploaded_image1_1569498881.69.png,Dakar, Sénégal
Chaussures,3000,https://images.coinafrique.com/thumb_989602_uploaded_image1_1569455878.5.png,M'bour, Sénégal
Chaussures,3000,https://images.coinafrique.com/thumb_989597_uploaded_image1_1569455797.26.png,M'bour, Sénégal
Chaussurespetite,3000,https://images.coinafrique.com/thumb_989571_uploaded_image1_1569455169.87.png,M'bour, Sénégal
Chaussurespetit,2500,https://images.coinafrique.com/thumb_989555_uploaded_image1_1569454732.88.png,M'bour, Sénégal
Chaussures,7000,https://images.coinafrique.com/thumb_971817_uploaded_image1_1569079950.62.png,Patte d'Oie, Dakar
Chaussures,7000,https://images.coinafrique.com/thumb_971814_uploaded_image1_1569079860.47.png,Les Parcelles Assainies, Dakar
Chaussuresde,20000,https://images.coinafrique.com/thumb_963710_uploaded_image1_1568898631.18.png,Grand Yoff, Dakar
